member_id,sr_no,state_raw,mp_name_raw,constituency_raw,allocated_amount,allocated_amount_raw,state,mp_name,mp_name_clean,has_title_prefix,name_case_consistent,name_has_double_space,constituency,amount_missing,amount_has_paise,constituency_category,constituency_base,member_key
42,42,Maharashtra,ANUP SANJAY DHOTRE,AKOLA,147000000.0,147000000,Maharashtra,ANUP SANJAY DHOTRE,ANUP SANJAY DHOTRE,False,False,False,AKOLA,False,False,general,AKOLA,maharashtra|anup sanjay dhotre|akola
43,43,Uttar Pradesh,Anurag Sharma,JHANSI,147000000.0,147000000,Uttar Pradesh,Anurag Sharma,Anurag Sharma,False,True,False,JHANSI,False,False,general,JHANSI,uttar pradesh|anurag sharma|jhansi
44,44,Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.11,149570117.11,Himachal Pradesh,Anurag Singh Thakur,Anurag Singh Thakur,False,True,False,HAMIRPUR_HP,False,True,general,HAMIRPUR (HP),himachal pradesh|anurag singh thakur|hamirpur_hp
45,45,Andhra Pradesh,Appalanaidu Kalisetti,VIZIANAGARAM,147000000.0,147000000,Andhra Pradesh,Appalanaidu Kalisetti,Appalanaidu Kalisetti,False,True,False,VIZIANAGARAM,False,False,general,VIZIANAGARAM,andhra pradesh|appalanaidu kalisetti|vizianagaram
46,46,Bihar,ARUN BHARTI,JAMUI(SC),194924621.11,194924621.11,Bihar,ARUN BHARTI,ARUN BHARTI,False,False,False,JAMUI(SC),False,True,sc,JAMUI,bihar|arun bharti|jamui(sc)
47,47,Uttar Pradesh,ARUN GOVIL,MEERUT,147000000.0,147000000,Uttar Pradesh,ARUN GOVIL,ARUN GOVIL,False,False,False,MEERUT,False,False,general,MEERUT,uttar pradesh|arun govil|meerut
48,48,Tamil Nadu,ARUN NEHRU,PERAMBALUR,147000000.0,147000000,Tamil Nadu,ARUN NEHRU,ARUN NEHRU,False,False,False,PERAMBALUR,False,False,general,PERAMBALUR,tamil nadu|arun nehru|perambalur
49,49,Telangana,ARUNA. D. K,MAHABUBNAGAR,147000000.0,147000000,Telangana,ARUNA. D. K,ARUNA. D. K,False,False,False,MAHABUBNAGAR,False,False,general,MAHABUBNAGAR,telangana|aruna. d. k|mahabubnagar
50,50,West Bengal,ARUP CHAKRABORTY,BANKURA,147000000.0,147000000,West Bengal,ARUP CHAKRABORTY,ARUP CHAKRABORTY,False,False,False,BANKURA,False,False,general,BANKURA,west bengal|arup chakraborty|bankura
51,51,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,281396355.11,Telangana,Arvind Dharmapuri,Arvind Dharmapuri,False,True,False,NIZAMABAD,False,True,general,NIZAMABAD,telangana|arvind dharmapuri|nizamabad
52,52,Maharashtra,Arvind Ganpat Sawant,MUMBAI SOUTH,147000000.0,147000000,Maharashtra,Arvind Ganpat Sawant,Arvind Ganpat Sawant,False,True,False,MUMBAI SOUTH,False,False,general,MUMBAI SOUTH,maharashtra|arvind ganpat sawant|mumbai south
53,53,Telangana,Asaduddin Owaisi,HYDERABAD,147000000.0,147000000,Telangana,Asaduddin Owaisi,Asaduddin Owaisi,False,True,False,HYDERABAD,False,False,general,HYDERABAD,telangana|asaduddin owaisi|hyderabad
54,54,Madhya Pradesh,ASHISH DUBEY,JABALPUR,147000000.0,147000000,Madhya Pradesh,ASHISH DUBEY,ASHISH DUBEY,False,False,False,JABALPUR,False,False,general,JABALPUR,madhya pradesh|ashish dubey|jabalpur
55,55,Uttar Pradesh,Ashok Kumar Rawat,MISRIKH(SC),147000000.0,147000000,Uttar Pradesh,Ashok Kumar Rawat,Ashok Kumar Rawat,False,True,False,MISRIKH(SC),False,False,sc,MISRIKH,uttar pradesh|ashok kumar rawat|misrikh(sc)
56,56,Bihar,Ashok Kumar Yadav,MADHUBANI,147000000.0,147000000,Bihar,Ashok Kumar Yadav,Ashok Kumar Yadav,False,True,False,MADHUBANI,False,False,general,MADHUBANI,bihar|ashok kumar yadav|madhubani
57,57,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,275694456.74,West Bengal,Asit Kumar Mal,Asit Kumar Mal,False,True,False,BOLPUR(SC),False,True,sc,BOLPUR,west bengal|asit kumar mal|bolpur(sc)
58,58,Uttar Pradesh,ATUL GARG,GHAZIABAD,155336470.0,155336470,Uttar Pradesh,ATUL GARG,ATUL GARG,False,False,False,GHAZIABAD,False,False,general,GHAZIABAD,uttar pradesh|atul garg|ghaziabad
59,59,Odisha,AVIMANYU SETHI,BHADRAK(SC),147000000.0,147000000,Odisha,AVIMANYU SETHI,AVIMANYU SETHI,False,False,False,BHADRAK(SC),False,False,sc,BHADRAK,odisha|avimanyu sethi|bhadrak(sc)
60,60,Uttar Pradesh,AWADHESH PRASAD,FAIZABAD,147000000.0,147000000,Uttar Pradesh,AWADHESH PRASAD,AWADHESH PRASAD,False,False,False,FAIZABAD,False,False,general,FAIZABAD,uttar pradesh|awadhesh prasad|faizabad
61,61,West Bengal,AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,179658399.98,179658399.98,West Bengal,AZAD KIRTI JHA,AZAD KIRTI JHA,False,False,False,BARDHAMAN-DURGAPUR,False,True,general,BARDHAMAN-DURGAPUR,west bengal|azad kirti jha|bardhaman-durgapur
62,62,Andhra Pradesh,B K PARTHASARATHI,HINDUPUR,160491894.11,160491894.11,Andhra Pradesh,B K PARTHASARATHI,B K PARTHASARATHI,False,False,False,HINDUPUR,False,True,general,HINDUPUR,andhra pradesh|b k parthasarathi|hindupur
63,63,Uttar Pradesh,BABU SINGH KUSHWAHA,JAUNPUR,147000000.0,147000000,Uttar Pradesh,BABU SINGH KUSHWAHA,BABU SINGH KUSHWAHA,False,False,False,JAUNPUR,False,False,general,JAUNPUR,uttar pradesh|babu singh kushwaha|jaunpur
64,64,Maharashtra,BACHHAV SHOBHA DINESH,DHULE,147000000.0,147000000,Maharashtra,BACHHAV SHOBHA DINESH,BACHHAV SHOBHA DINESH,False,False,False,DHULE,False,False,general,DHULE,maharashtra|bachhav shobha dinesh|dhule
65,65,West Bengal,BAG MITALI,ARAMBAG(SC),147000000.0,147000000,West Bengal,BAG MITALI,BAG MITALI,False,False,False,ARAMBAG(SC),False,False,sc,ARAMBAG,west bengal|bag mitali|arambag(sc)
66,66,Odisha,BAIJAYANT PANDA,KENDRAPARA,147000000.0,147000000,Odisha,BAIJAYANT PANDA,BAIJAYANT PANDA,False,False,False,KENDRAPARA,False,False,general,KENDRAPARA,odisha|baijayant panda|kendrapara
67,67,Maharashtra,BAJRANG MANOHAR SONWANE,BEED,165899107.19,165899107.19,Maharashtra,BAJRANG MANOHAR SONWANE,BAJRANG MANOHAR SONWANE,False,False,False,BEED,False,True,general,BEED,maharashtra|bajrang manohar sonwane|beed
68,68,Odisha,BALABHADRA MAJHI,NABARANGPUR(ST),147413962.11,147413962.11,Odisha,BALABHADRA MAJHI,BALABHADRA MAJHI,False,False,False,NABARANGPUR(ST),False,True,st,NABARANGPUR,odisha|balabhadra majhi|nabarangpur(st)
69,69,Andhra Pradesh,Balashowry Vallabbhaneni,MACHILIPATNAM,147000000.0,147000000,Andhra Pradesh,Balashowry Vallabbhaneni,Balashowry Vallabbhaneni,False,True,False,MACHILIPATNAM,False,False,general,MACHILIPATNAM,andhra pradesh|balashowry vallabbhaneni|machilipatnam
70,70,Telangana,BALRAM NAIK PORIKA,MAHABUBABAD,147000000.0,147000000,Telangana,BALRAM NAIK PORIKA,BALRAM NAIK PORIKA,False,False,False,MAHABUBABAD,False,False,general,MAHABUBABAD,telangana|balram naik porika|mahabubabad
71,71,Maharashtra,BALWANT BASWANT WANKHADE,AMRAVATI(SC),198293678.0,198293678,Maharashtra,BALWANT BASWANT WANKHADE,BALWANT BASWANT WANKHADE,False,False,False,AMRAVATI(SC),False,False,sc,AMRAVATI,maharashtra|balwant baswant wankhade|amravati(sc)
72,72,Maharashtra,BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,147000000.0,147000000,Maharashtra,BALYA MAMA SURESH GOPINATH MHATRE,BALYA MAMA SURESH GOPINATH MHATRE,False,False,False,BHIWANDI,False,False,general,BHIWANDI,maharashtra|balya mama suresh gopinath mhatre|bhiwandi
73,73,Delhi,Bansuri Swaraj,NEW DELHI,154306950.0,154306950,Delhi,Bansuri Swaraj,Bansuri Swaraj,False,True,False,NEW DELHI,False,False,general,NEW DELHI,delhi|bansuri swaraj|new delhi
